,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
141,vc-exact_142.graph,,1021,1021,1059,940
142,vc-exact_143.graph,,6543,6649,6907,6589
143,vc-exact_144.graph,,9786,9807,9997,9623
144,vc-exact_145.graph,,6586,6677,6907,6580
145,vc-exact_146.graph,,9778,9811,9996,9629
146,vc-exact_147.graph,,6564,6680,6907,6615
147,vc-exact_148.graph,,9778,9814,9997,9617
148,vc-exact_149.graph,,9772,9808,9995,9610
149,vc-exact_150.graph,,9777,9812,9997,9599
150,vc-exact_151.graph,,5611,5611,6024,5747
151,vc-exact_152.graph,,4830,4830,5186,4951
152,vc-exact_153.graph,,10796,10796,11074,10649
153,vc-exact_154.graph,,5611,5611,6025,5763
154,vc-exact_155.graph,,9776,9813,9998,9626
155,vc-exact_156.graph,28.0,23,23,29,19
156,vc-exact_157.graph,,1016,1016,1058,945
157,vc-exact_158.graph,,5611,5611,6023,5748
158,vc-exact_159.graph,,6660,6655,6905,6566
159,vc-exact_160.graph,,6664,6651,6906,6570
160,vc-exact_161.graph,,50691,50691,51117,47404
161,vc-exact_162.graph,,18429,18429,18841,17424
162,vc-exact_163.graph,,6665,6661,6905,6585
163,vc-exact_164.graph,,11018,11018,11149,10679
164,vc-exact_165.graph,,6685,6681,6906,6588
165,vc-exact_166.graph,,1124,1124,1163,1033
166,vc-exact_167.graph,5922.0,5611,5611,6025,5742
167,vc-exact_168.graph,,1021,1021,1059,944
168,vc-exact_169.graph,,1632,1632,1695,1500
169,vc-exact_170.graph,,5611,5611,6023,5753
170,vc-exact_171.graph,,6702,6524,6905,6588
171,vc-exact_172.graph,,1361,1361,1393,1253
172,vc-exact_173.graph,,21668,21675,22955,21429
173,vc-exact_174.graph,,1015,1015,1058,948
174,vc-exact_175.graph,,1193,1193,1238,1118
175,vc-exact_176.graph,,5611,5611,6025,5741
176,vc-exact_177.graph,,1745,1745,1800,1600
177,vc-exact_178.graph,,6693,6473,6904,6584
178,vc-exact_179.graph,,5611,5611,6022,5743
179,vc-exact_180.graph,,5611,5611,6024,5742
180,vc-exact_181.graph,,6700,6525,6905,6599
181,vc-exact_182.graph,,9810,9769,9996,9625
182,vc-exact_183.graph,,25838,25838,27029,24960
183,vc-exact_184.graph,,2134,2134,2207,1990
184,vc-exact_185.graph,,1192,1192,1237,1105
185,vc-exact_186.graph,,9807,9768,9995,9628
186,vc-exact_187.graph,,1446,1446,1483,1324
187,vc-exact_188.graph,,2266,2266,2338,2096
188,vc-exact_189.graph,,2507,2507,2596,2329
189,vc-exact_190.graph,,1308,1308,1361,1223
190,vc-exact_191.graph,,1558,1558,1608,1450
191,vc-exact_192.graph,,1021,1021,1059,933
192,vc-exact_193.graph,,2382,2382,2465,2215
193,vc-exact_194.graph,,33,33,48,34
194,vc-exact_195.graph,,34,34,48,31
195,vc-exact_196.graph,,43,43,55,41
196,vc-exact_197.graph,,40,40,55,39
197,vc-exact_198.graph,,38,38,47,35
198,vc-exact_199.graph,,40,40,57,41
199,vc-exact_200.graph,,37,37,48,34
