,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
7406,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07406.graph,511249.0,508046,508046,510992,465897
7407,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07407.graph,524490.0,524490,524490,524490,494534
7408,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07408.graph,522018.0,521937,521937,522018,485095
7409,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07409.graph,511195.0,504856,504856,511195,474764
7410,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07410.graph,496129.0,495978,495978,496129,460012
7411,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07411.graph,528827.0,528827,528827,528827,492167
7412,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07412.graph,510268.0,504819,504819,510268,477608
7413,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07413.graph,512615.0,511066,511066,512615,469159
7414,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07414.graph,523427.0,520335,520335,523128,491906
7415,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07415.graph,509262.0,508176,508176,509262,474457
7416,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07416.graph,505235.0,504042,504042,505235,472180
7417,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07417.graph,525449.0,524482,524482,525449,492764
7418,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07418.graph,517681.0,517389,517389,517681,484459
7419,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07419.graph,514569.0,514569,514569,514569,475544
7420,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07420.graph,516061.0,515305,515305,516061,483156
7421,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07421.graph,500283.0,493128,493128,500283,465669
7422,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07422.graph,521834.0,521834,521834,521834,481656
7423,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07423.graph,525458.0,523897,523897,525458,495868
7424,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07424.graph,535520.0,534703,534703,535438,506425
7425,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07425.graph,517651.0,515521,515521,517413,473129
7426,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07426.graph,508194.0,508194,508194,508194,475378
7427,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07427.graph,514673.0,512781,512781,514075,489823
7428,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07428.graph,523680.0,523680,523680,523680,495479
7429,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07429.graph,522995.0,522687,522687,522995,489452
7430,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07430.graph,526416.0,526416,526416,526416,484435
7431,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07431.graph,531338.0,531309,531309,531338,491515
7432,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07432.graph,526389.0,516993,516993,526048,488535
7433,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07433.graph,504603.0,495881,495881,503513,471973
7434,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07434.graph,508437.0,507430,507430,508097,480340
7435,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07435.graph,516375.0,507856,507856,514887,476934
7436,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07436.graph,519186.0,518740,518740,519186,474811
7437,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07437.graph,505427.0,504422,504422,505427,475488
7438,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07438.graph,522120.0,522091,522091,522120,480151
7439,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07439.graph,513892.0,507615,507615,513892,485159
7440,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07440.graph,509514.0,507512,507512,509250,469981
7441,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07441.graph,517878.0,507924,507924,517878,476103
7442,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07442.graph,516238.0,515423,515423,516238,470621
7443,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07443.graph,527007.0,526745,526745,527007,480619
7444,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07444.graph,517768.0,517768,517768,517768,482918
7445,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07445.graph,520298.0,509260,509260,518533,473240
7446,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07446.graph,519462.0,511862,511862,518797,474987
7447,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07447.graph,505287.0,501624,501624,505190,476641
7448,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07448.graph,529240.0,529240,529240,529240,489039
7449,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07449.graph,542259.0,541396,541396,542259,497864
7450,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07450.graph,527359.0,520805,520805,527359,492193
7451,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07451.graph,526029.0,526029,526029,526029,484301
7452,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07452.graph,519843.0,518656,518656,519769,487216
7453,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07453.graph,503534.0,503275,503275,503534,463996
7454,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07454.graph,519315.0,511350,511350,519315,485965
7455,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07455.graph,534487.0,532975,532975,534487,503502
7456,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07456.graph,517168.0,515622,515622,517168,480058
7457,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07457.graph,517794.0,516342,516342,517794,475564
7458,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07458.graph,511513.0,502332,502332,511399,473804
7459,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07459.graph,510521.0,510260,510260,509084,473313
7460,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07460.graph,516794.0,515488,515488,515778,472706
7461,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07461.graph,518950.0,517361,517361,518950,481851
7462,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07462.graph,520428.0,518404,518404,520428,477402
7463,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07463.graph,511775.0,511775,511775,511775,475092
7464,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07464.graph,534973.0,534973,534973,534973,488492
7465,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07465.graph,530374.0,530374,530374,530374,493340
7466,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07466.graph,502169.0,498672,498672,502050,465419
7467,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07467.graph,505299.0,504981,504981,505299,476368
7468,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07468.graph,517148.0,512114,512114,516833,489107
7469,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07469.graph,532822.0,532822,532822,532822,493559
7470,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07470.graph,527988.0,527988,527988,527988,500159
7471,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07471.graph,510621.0,510444,510444,510621,477334
7472,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07472.graph,513933.0,506824,506824,513933,469652
7473,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07473.graph,533339.0,533339,533339,533339,500943
7474,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07474.graph,517287.0,515738,515738,517167,483854
7475,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07475.graph,512258.0,509582,509582,512258,477212
7476,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07476.graph,518852.0,515841,515841,517804,489113
7477,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07477.graph,518734.0,508267,508267,518734,471551
7478,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07478.graph,502054.0,494318,494318,501946,460783
7479,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07479.graph,510504.0,507584,507584,510504,468337
7480,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07480.graph,530189.0,530063,530063,530189,488759
7481,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07481.graph,514107.0,514107,514107,514107,477120
7482,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07482.graph,510634.0,510523,510523,510634,473057
7483,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07483.graph,514197.0,510862,510862,514118,477858
7484,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07484.graph,495076.0,495076,495076,495076,474269
7485,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07485.graph,536927.0,536927,536927,536927,502362
7486,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07486.graph,507705.0,503745,503745,507696,464990
7487,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07487.graph,512447.0,511655,511655,512447,474664
7488,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07488.graph,504902.0,504252,504252,504808,466754
7489,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07489.graph,523041.0,519850,519850,523041,491420
7490,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07490.graph,513123.0,513123,513123,513123,481242
7491,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07491.graph,507286.0,506454,506454,507224,480108
7492,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07492.graph,511985.0,509389,509389,511434,478936
7493,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07493.graph,508263.0,503908,503908,508263,464907
7494,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07494.graph,523755.0,523755,523755,523755,488055
7495,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07495.graph,511713.0,508557,508557,511713,469131
7496,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07496.graph,506558.0,506558,506558,506558,471960
7497,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07497.graph,513052.0,511486,511486,513052,481039
7498,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07498.graph,512030.0,502089,502089,511772,475132
7499,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07499.graph,515555.0,509678,509678,515555,476035
7500,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07500.graph,505879.0,503566,503566,505306,476521
7501,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07501.graph,513360.0,508915,508915,511737,473404
7502,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07502.graph,503721.0,503071,503071,503721,465473
7503,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07503.graph,528797.0,528797,528797,528797,480833
7504,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07504.graph,507331.0,506538,506538,507313,470793
7505,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07505.graph,511921.0,511878,511878,511921,476134
7506,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07506.graph,519845.0,519845,519845,519845,486902
7507,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07507.graph,515532.0,515053,515053,515532,474008
7508,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07508.graph,511629.0,508567,508567,511158,475883
7509,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07509.graph,518050.0,509213,509213,517068,477365
7510,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07510.graph,507441.0,507025,507025,507441,471703
7511,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07511.graph,519925.0,516344,516344,519745,479216
7512,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07512.graph,515687.0,514899,514899,515687,492996
7513,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07513.graph,521503.0,519421,519421,521503,486991
7514,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07514.graph,498812.0,492905,492905,497883,467804
7515,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07515.graph,515599.0,510762,510762,515599,469468
7516,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07516.graph,500845.0,492155,492155,500845,462073
7517,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07517.graph,525806.0,524215,524215,525632,482135
7518,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07518.graph,517597.0,517590,517590,517597,484362
7519,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07519.graph,516841.0,515371,515371,516841,482095
7520,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07520.graph,498552.0,492385,492385,498552,465820
7521,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07521.graph,512785.0,512785,512785,512785,474584
7522,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07522.graph,517089.0,516910,516910,517089,488552
7523,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07523.graph,530578.0,525926,525926,530578,494032
7524,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07524.graph,499720.0,493785,493785,498657,466147
7525,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07525.graph,508418.0,506832,506832,508418,467940
7526,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07526.graph,511354.0,508561,508561,511354,473475
7527,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07527.graph,522388.0,516660,516660,522280,483461
7528,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07528.graph,514676.0,514676,514676,514676,479876
7529,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07529.graph,522187.0,522176,522176,522187,471191
7530,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07530.graph,526319.0,526319,526319,526319,498332
7531,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07531.graph,494393.0,483543,483543,493938,456513
7532,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07532.graph,526372.0,525210,525210,526372,495342
7533,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07533.graph,527758.0,527695,527695,527758,482262
7534,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07534.graph,515098.0,513679,513679,514689,492076
7535,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07535.graph,521299.0,520968,520968,521299,475567
7536,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07536.graph,533893.0,533893,533893,533893,492710
7537,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07537.graph,518629.0,518567,518567,518629,479619
7538,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07538.graph,525878.0,516131,516131,525538,486361
7539,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07539.graph,526251.0,525897,525897,526206,496043
7540,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07540.graph,504948.0,504665,504665,504948,478531
7541,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07541.graph,514802.0,512607,512607,514511,487723
7542,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07542.graph,493831.0,490667,490667,492998,455065
