,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
4119,erdos-reyni-n1000-p0.005--maxw2000-seed5_4705.graph,,459998,459998,490539,453403
4120,erdos-reyni-n1000-p0.005--maxw2000-seed5_4706.graph,,476366,476366,501292,461817
4121,erdos-reyni-n1000-p0.005--maxw2000-seed5_4707.graph,,483714,483714,500311,455804
4122,erdos-reyni-n1000-p0.005--maxw2000-seed5_4708.graph,,491459,491459,503881,461951
4123,erdos-reyni-n1000-p0.005--maxw2000-seed5_4709.graph,,485708,485708,508175,464718
4124,erdos-reyni-n1000-p0.005--maxw2000-seed5_471.graph,503092.0,497049,497049,502519,471470
4125,erdos-reyni-n1000-p0.005--maxw2000-seed5_4710.graph,,498309,498309,510385,475674
4126,erdos-reyni-n1000-p0.005--maxw2000-seed5_4711.graph,,493034,493034,517684,489349
4127,erdos-reyni-n1000-p0.005--maxw2000-seed5_4712.graph,,496143,496143,507341,472365
4128,erdos-reyni-n1000-p0.005--maxw2000-seed5_4713.graph,,451702,451702,476081,440164
4129,erdos-reyni-n1000-p0.005--maxw2000-seed5_4714.graph,,458902,458902,473861,434370
4130,erdos-reyni-n1000-p0.005--maxw2000-seed5_4715.graph,,481200,481200,497782,457965
4131,erdos-reyni-n1000-p0.005--maxw2000-seed5_4716.graph,,478908,478908,499078,467442
4132,erdos-reyni-n1000-p0.005--maxw2000-seed5_4717.graph,,485633,485633,509766,479708
4133,erdos-reyni-n1000-p0.005--maxw2000-seed5_4718.graph,,485307,485307,502038,458156
4134,erdos-reyni-n1000-p0.005--maxw2000-seed5_4719.graph,505290.0,496983,496983,504926,475435
4135,erdos-reyni-n1000-p0.005--maxw2000-seed5_472.graph,,488069,488069,502083,476341
4136,erdos-reyni-n1000-p0.005--maxw2000-seed5_4720.graph,,482409,482409,496098,463910
