,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
243,erdos-reyni-n200-p0.1--maxw400-seed20_317.graph,10203,8449,8449,10203,9333
244,erdos-reyni-n200-p0.1--maxw400-seed20_318.graph,9675,6709,6709,9675,8998
245,erdos-reyni-n200-p0.1--maxw400-seed20_319.graph,9794,7538,7538,9794,8258
246,erdos-reyni-n200-p0.1--maxw400-seed20_32.graph,9699,6383,6383,9605,8517
247,erdos-reyni-n200-p0.1--maxw400-seed20_320.graph,9960,6106,6106,9720,8345
248,erdos-reyni-n200-p0.1--maxw400-seed20_321.graph,9947,7067,7067,9947,8641
249,erdos-reyni-n200-p0.1--maxw400-seed20_322.graph,10251,7443,7443,10251,8804
250,erdos-reyni-n200-p0.1--maxw400-seed20_323.graph,10618,6728,6728,10618,9131
251,erdos-reyni-n200-p0.1--maxw400-seed20_324.graph,10296,7181,7181,10296,8359
252,erdos-reyni-n200-p0.1--maxw400-seed20_325.graph,10359,6707,6707,10359,8505
253,erdos-reyni-n200-p0.1--maxw400-seed20_326.graph,9775,7157,7157,9775,8849
254,erdos-reyni-n200-p0.1--maxw400-seed20_327.graph,10688,7360,7360,10688,9135
255,erdos-reyni-n200-p0.1--maxw400-seed20_328.graph,10380,7005,7005,10380,8767
256,erdos-reyni-n200-p0.1--maxw400-seed20_329.graph,9661,5774,5774,9661,7525
257,erdos-reyni-n200-p0.1--maxw400-seed20_33.graph,9475,7854,7854,9475,8567
258,erdos-reyni-n200-p0.1--maxw400-seed20_330.graph,9725,7076,7076,9706,8902
259,erdos-reyni-n200-p0.1--maxw400-seed20_331.graph,9919,8070,8070,9919,7874
260,erdos-reyni-n200-p0.1--maxw400-seed20_332.graph,10204,6455,6455,10204,8268
261,erdos-reyni-n200-p0.1--maxw400-seed20_333.graph,9669,7476,7476,9669,8583
262,erdos-reyni-n200-p0.1--maxw400-seed20_334.graph,10375,7297,7297,10375,8917
263,erdos-reyni-n200-p0.1--maxw400-seed20_335.graph,10648,7139,7139,10648,7954
264,erdos-reyni-n200-p0.1--maxw400-seed20_336.graph,9631,6764,6764,9631,8241
265,erdos-reyni-n200-p0.1--maxw400-seed20_337.graph,10675,6902,6902,10675,8393
266,erdos-reyni-n200-p0.1--maxw400-seed20_338.graph,10065,6868,6868,10065,8780
267,erdos-reyni-n200-p0.1--maxw400-seed20_339.graph,9806,6284,6284,9806,9029
268,erdos-reyni-n200-p0.1--maxw400-seed20_34.graph,11373,8919,8919,11373,8401
269,erdos-reyni-n200-p0.1--maxw400-seed20_340.graph,10770,7953,7953,10770,9111
270,erdos-reyni-n200-p0.1--maxw400-seed20_341.graph,10199,6624,6624,10173,9134
271,erdos-reyni-n200-p0.1--maxw400-seed20_342.graph,10286,8578,8578,10286,8730
272,erdos-reyni-n200-p0.1--maxw400-seed20_343.graph,9637,7272,7272,9637,7756
273,erdos-reyni-n200-p0.1--maxw400-seed20_344.graph,9928,7599,7599,9928,7869
274,erdos-reyni-n200-p0.1--maxw400-seed20_345.graph,9822,7006,7006,9822,8438
275,erdos-reyni-n200-p0.1--maxw400-seed20_346.graph,11010,8191,8191,11010,9507
276,erdos-reyni-n200-p0.1--maxw400-seed20_347.graph,10123,6656,6656,10123,8890
277,erdos-reyni-n200-p0.1--maxw400-seed20_348.graph,10670,7905,7905,10670,8695
278,erdos-reyni-n200-p0.1--maxw400-seed20_349.graph,9699,7545,7545,9699,8257
279,erdos-reyni-n200-p0.1--maxw400-seed20_35.graph,9813,6958,6958,9813,8556
280,erdos-reyni-n200-p0.1--maxw400-seed20_350.graph,9847,7233,7233,9847,8611
281,erdos-reyni-n200-p0.1--maxw400-seed20_351.graph,10799,8185,8185,10799,10027
282,erdos-reyni-n200-p0.1--maxw400-seed20_352.graph,10339,9123,9123,10339,9470
283,erdos-reyni-n200-p0.1--maxw400-seed20_353.graph,10678,8042,8042,10678,9252
284,erdos-reyni-n200-p0.1--maxw400-seed20_354.graph,9864,6641,6641,9864,8211
285,erdos-reyni-n200-p0.1--maxw400-seed20_355.graph,10394,7620,7620,10394,9380
286,erdos-reyni-n200-p0.1--maxw400-seed20_356.graph,10978,7488,7488,10978,8843
287,erdos-reyni-n200-p0.1--maxw400-seed20_357.graph,10112,7855,7855,10112,8430
288,erdos-reyni-n200-p0.1--maxw400-seed20_358.graph,10430,7140,7140,10430,8825
289,erdos-reyni-n200-p0.1--maxw400-seed20_359.graph,10210,7179,7179,10210,8015
290,erdos-reyni-n200-p0.1--maxw400-seed20_36.graph,10231,6230,6230,10231,9416
291,erdos-reyni-n200-p0.1--maxw400-seed20_360.graph,11161,7325,7325,11161,9428
292,erdos-reyni-n200-p0.1--maxw400-seed20_361.graph,9280,5998,5998,9280,8024
293,erdos-reyni-n200-p0.1--maxw400-seed20_362.graph,11020,6901,6901,11020,10320
294,erdos-reyni-n200-p0.1--maxw400-seed20_363.graph,10559,8229,8229,10559,8543
295,erdos-reyni-n200-p0.1--maxw400-seed20_364.graph,10406,5739,5739,10406,8401
296,erdos-reyni-n200-p0.1--maxw400-seed20_365.graph,10354,5145,5145,10354,8467
297,erdos-reyni-n200-p0.1--maxw400-seed20_366.graph,10352,7161,7161,10352,8470
298,erdos-reyni-n200-p0.1--maxw400-seed20_367.graph,9974,8054,8054,9974,8489
299,erdos-reyni-n200-p0.1--maxw400-seed20_368.graph,9969,6381,6381,9969,8640
300,erdos-reyni-n200-p0.1--maxw400-seed20_369.graph,10704,7040,7040,10704,8593
301,erdos-reyni-n200-p0.1--maxw400-seed20_37.graph,9911,8094,8094,9835,8259
302,erdos-reyni-n200-p0.1--maxw400-seed20_370.graph,10509,6789,6789,10509,9930
303,erdos-reyni-n200-p0.1--maxw400-seed20_371.graph,9864,6854,6854,9795,8334
304,erdos-reyni-n200-p0.1--maxw400-seed20_372.graph,10428,7617,7617,10428,9136
305,erdos-reyni-n200-p0.1--maxw400-seed20_373.graph,10291,6985,6985,10234,8885
306,erdos-reyni-n200-p0.1--maxw400-seed20_374.graph,9619,6301,6301,9619,7559
307,erdos-reyni-n200-p0.1--maxw400-seed20_375.graph,10238,7073,7073,10188,8899
308,erdos-reyni-n200-p0.1--maxw400-seed20_376.graph,11122,7714,7714,10905,8540
309,erdos-reyni-n200-p0.1--maxw400-seed20_377.graph,10147,7080,7080,10147,8123
310,erdos-reyni-n200-p0.1--maxw400-seed20_378.graph,10556,6948,6948,10556,8265
311,erdos-reyni-n200-p0.1--maxw400-seed20_379.graph,9884,7671,7671,9884,9042
312,erdos-reyni-n200-p0.1--maxw400-seed20_38.graph,9589,5848,5848,9589,8111
313,erdos-reyni-n200-p0.1--maxw400-seed20_380.graph,10128,6054,6054,10128,8559
314,erdos-reyni-n200-p0.1--maxw400-seed20_381.graph,9446,6791,6791,9446,7236
315,erdos-reyni-n200-p0.1--maxw400-seed20_382.graph,10728,6381,6381,10728,9504
316,erdos-reyni-n200-p0.1--maxw400-seed20_383.graph,10161,6885,6885,10161,8795
317,erdos-reyni-n200-p0.1--maxw400-seed20_384.graph,10625,8788,8788,10564,9471
318,erdos-reyni-n200-p0.1--maxw400-seed20_385.graph,9502,7186,7186,9470,8000
319,erdos-reyni-n200-p0.1--maxw400-seed20_386.graph,10778,8467,8467,10778,8130
320,erdos-reyni-n200-p0.1--maxw400-seed20_387.graph,10426,6539,6539,10426,8933
321,erdos-reyni-n200-p0.1--maxw400-seed20_388.graph,10071,6824,6824,10071,9342
322,erdos-reyni-n200-p0.1--maxw400-seed20_389.graph,9584,7630,7630,9554,8666
323,erdos-reyni-n200-p0.1--maxw400-seed20_39.graph,9891,7711,7711,9891,8182
324,erdos-reyni-n200-p0.1--maxw400-seed20_390.graph,10186,6893,6893,10186,8866
325,erdos-reyni-n200-p0.1--maxw400-seed20_391.graph,9452,5909,5909,9452,8522
326,erdos-reyni-n200-p0.1--maxw400-seed20_392.graph,10306,8647,8647,10306,9435
